Attaching to nomad_oasis_proxy, nomad_oasis_north, nomad_oasis_app, nomad_oasis_worker, nomad_oasis_rabbitmq, nomad_oasis_mongo, nomad_oasis_elastic
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:42,432Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "version[7.17.1], pid[7], build[default/docker/e5acb99f822233d62d6444ce45a4543dc1c8059a/2022-02-23T22:20:54.153567231Z], OS[Linux/5.15.0-52-generic/amd64], JVM[Eclipse Adoptium/OpenJDK 64-Bit Server VM/17.0.2/17.0.2+8]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,375Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [spatial]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,375Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [transform]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,375Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [transport-netty4]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,375Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [unsigned-long]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,376Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [vector-tile]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,376Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [vectors]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,376Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [wildcard]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,376Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-aggregate-metric]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,376Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-analytics]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,376Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-async]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,376Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-async-search]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,377Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-autoscaling]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,377Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-ccr]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,377Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-core]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,377Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-data-streams]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,377Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-deprecation]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,377Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-enrich]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,377Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-eql]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,378Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-fleet]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,378Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-graph]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,378Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-identity-provider]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,378Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-ilm]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,378Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-logstash]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,378Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-ml]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,379Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-monitoring]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,379Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-ql]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,379Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-rollup]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,379Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-security]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,379Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-shutdown]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,379Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-sql]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,379Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-stack]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,380Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-text-structure]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,380Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-voting-only-node]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,380Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "loaded module [x-pack-watcher]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,381Z", "level": "INFO", "component": "o.e.p.PluginsService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "no plugins loaded" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,410Z", "level": "INFO", "component": "o.e.e.NodeEnvironment", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "using [1] data paths, mounts [[/usr/share/elasticsearch/data (/dev/sda1)]], net usable_space [36.7gb], net total_space [48.2gb], types [ext4]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,411Z", "level": "INFO", "component": "o.e.e.NodeEnvironment", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "heap size [512mb], compressed ordinary object pointers [true]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:44,464Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "node name [85bf9867fd5e], node ID [QIQgTdBiRuGxSe7_J1VgxA], cluster name [docker-cluster], roles [transform, data_frozen, master, remote_cluster_client, data, ml, data_content, data_hot, data_warm, data_cold, ingest]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:48,352Z", "level": "INFO", "component": "o.e.x.m.p.l.CppLogMessageHandler", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "[controller/221] [Main.cc@122] controller (64 bit): Version 7.17.1 (Build 6d8a28b39bf223) Copyright (c) 2022 Elasticsearch BV" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:48,681Z", "level": "INFO", "component": "o.e.x.s.a.s.FileRolesStore", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "parsed [0] roles from file [/usr/share/elasticsearch/config/roles.yml]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:49,237Z", "level": "INFO", "component": "o.e.i.g.ConfigDatabases", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "initialized default databases [[GeoLite2-Country.mmdb, GeoLite2-City.mmdb, GeoLite2-ASN.mmdb]], config databases [[]] and watching [/usr/share/elasticsearch/config/ingest-geoip] for changes" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:49,238Z", "level": "INFO", "component": "o.e.i.g.DatabaseNodeService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "initialized database registry, using geoip-databases directory [/tmp/elasticsearch-3583678561646363375/geoip-databases/QIQgTdBiRuGxSe7_J1VgxA]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:49,796Z", "level": "INFO", "component": "o.e.t.NettyAllocator", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "creating NettyAllocator with the following configs: [name=unpooled, suggested_max_allocation_size=1mb, factors={es.unsafe.use_unpooled_allocator=null, g1gc_enabled=true, g1gc_region_size=4mb, heap_size=512mb}]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:49,823Z", "level": "INFO", "component": "o.e.i.r.RecoverySettings", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "using rate limit [40mb] with [default=40mb, read=0b, write=0b, max=0b]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:49,859Z", "level": "INFO", "component": "o.e.d.DiscoveryModule", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "using discovery type [single-node] and seed hosts providers [settings]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:50,331Z", "level": "INFO", "component": "o.e.g.DanglingIndicesState", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "gateway.auto_import_dangling_indices is disabled, dangling indices will not be automatically detected or imported and must be managed manually" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:50,852Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "initialized" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:50,853Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "starting ..." }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:50,878Z", "level": "INFO", "component": "o.e.x.s.c.f.PersistentCache", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "persistent cache index loaded" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:50,879Z", "level": "INFO", "component": "o.e.x.d.l.DeprecationIndexingComponent", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "deprecation component started" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:50,982Z", "level": "INFO", "component": "o.e.t.TransportService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "publish_address {192.168.0.2:9300}, bound_addresses {0.0.0.0:9300}" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:51,601Z", "level": "WARN", "component": "o.e.b.BootstrapChecks", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "max virtual memory areas vm.max_map_count [65530] is too low, increase to at least [262144]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:51,602Z", "level": "INFO", "component": "o.e.c.c.Coordinator", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "cluster UUID [i6tf3cPETEGhXC9u0LBvfw]" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:51,701Z", "level": "INFO", "component": "o.e.c.s.MasterService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "elected-as-master ([1] nodes joined)[{85bf9867fd5e}{QIQgTdBiRuGxSe7_J1VgxA}{bE51UnK0SiC_y3-gKyy1gA}{192.168.0.2}{192.168.0.2:9300}{cdfhilmrstw} elect leader, _BECOME_MASTER_TASK_, _FINISH_ELECTION_], term: 3, version: 65, delta: master node changed {previous [], current [{85bf9867fd5e}{QIQgTdBiRuGxSe7_J1VgxA}{bE51UnK0SiC_y3-gKyy1gA}{192.168.0.2}{192.168.0.2:9300}{cdfhilmrstw}]}" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:51,774Z", "level": "INFO", "component": "o.e.c.s.ClusterApplierService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "master node changed {previous [], current [{85bf9867fd5e}{QIQgTdBiRuGxSe7_J1VgxA}{bE51UnK0SiC_y3-gKyy1gA}{192.168.0.2}{192.168.0.2:9300}{cdfhilmrstw}]}, term: 3, version: 65, reason: Publication{term=3, version=65}" }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:51,823Z", "level": "INFO", "component": "o.e.h.AbstractHttpServerTransport", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "publish_address {192.168.0.2:9200}, bound_addresses {0.0.0.0:9200}", "cluster.uuid": "i6tf3cPETEGhXC9u0LBvfw", "node.id": "QIQgTdBiRuGxSe7_J1VgxA"  }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:51,824Z", "level": "INFO", "component": "o.e.n.Node", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "started", "cluster.uuid": "i6tf3cPETEGhXC9u0LBvfw", "node.id": "QIQgTdBiRuGxSe7_J1VgxA"  }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:52,082Z", "level": "INFO", "component": "o.e.l.LicenseService", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "license [5e0e7bda-dc30-479c-ae6b-068c199af972] mode [basic] - valid", "cluster.uuid": "i6tf3cPETEGhXC9u0LBvfw", "node.id": "QIQgTdBiRuGxSe7_J1VgxA"  }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:52,084Z", "level": "INFO", "component": "o.e.x.s.s.SecurityStatusChangeListener", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "Active license is now [BASIC]; Security is disabled", "cluster.uuid": "i6tf3cPETEGhXC9u0LBvfw", "node.id": "QIQgTdBiRuGxSe7_J1VgxA"  }
[33mnomad_oasis_elastic |[0m {"type": "server", "timestamp": "2022-11-09T07:46:52,085Z", "level": "WARN", "component": "o.e.x.s.s.SecurityStatusChangeListener", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "Elasticsearch built-in security features are not enabled. Without authentication, your cluster could be accessible to anyone. See https://www.elastic.co/guide/en/elasticsearch/reference/7.17/security-minimal-setup.html to enable security.", "cluster.uuid": "i6tf3cPETEGhXC9u0LBvfw", "node.id": "QIQgTdBiRuGxSe7_J1VgxA"  }
[33mnomad_oasis_elastic |[0m {"type": "deprecation.elasticsearch", "timestamp": "2022-11-09T07:46:52,086Z", "level": "CRITICAL", "component": "o.e.d.x.s.s.SecurityStatusChangeListener", "cluster.name": "docker-cluster", "node.name": "85bf9867fd5e", "message": "The default behavior of disabling security on basic licenses is deprecated. In a later version of Elasticsearch, the value of [xpack.security.enabled] will default to \"true\" , regardless of the license level. See https://www.elastic.co/guide/en/elasticsearch/reference/7.17/security-minimal-setup.html to enable security, or explicitly disable security by setting [xpack.security.enabled] to false in elasticsearch.yml", "key": "security_implicitly_disabled", "category": "security", "cluster.uuid": "i6tf3cPETEGhXC9u0LBvfw", "node.id": "QIQgTdBiRuGxSe7_J1VgxA"  }
